name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score
Donald C Cook,PJM,nuclear,active,2285.30,41.975604,-86.565206,Berrien,MI,WESTERN HUB,WESTERN HUB,,,67.81,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,93.00,42.00
Racine,PJM,hydro,active,47.40,38.915300,-81.908100,Meigs,OH,WESTERN HUB,WESTERN HUB,,,63.35,51.72,58.00,85.00,65.00,50.00,67.89,78.49,50.00,59.53,42.00
Calvert Cliffs Nuclear Power Plant,PJM,nuclear,active,1850.40,38.434400,-76.441700,Calvert,MD,WESTERN HUB,WESTERN HUB,,,67.76,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,92.33,42.00
Perry,PJM,nuclear,active,1311.60,41.800600,-81.143900,Lake,OH,WESTERN HUB,WESTERN HUB,,,67.51,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,89.25,42.00
Braidwood Generation Station,PJM,nuclear,active,2449.80,41.243500,-88.228600,Will,IL,WESTERN HUB,WESTERN HUB,,,67.81,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,93.00,42.00
Byron Generating Station,PJM,nuclear,active,2449.80,42.074200,-89.281900,Ogle,IL,WESTERN HUB,WESTERN HUB,,,67.81,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,93.00,42.00
LaSalle Generating Station,PJM,nuclear,active,2340.00,41.245498,-88.669066,LaSalle,IL,WESTERN HUB,WESTERN HUB,,,67.81,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,93.00,42.00
Beaver Valley,PJM,nuclear,active,1846.80,40.621900,-80.433600,Beaver,PA,WESTERN HUB,WESTERN HUB,,,67.76,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,92.31,42.00
Diablo Canyon,CAISO,nuclear,active,2323.00,35.211536,-120.855542,San Luis Obispo,CA,NP15,NP15,,,70.97,54.59,57.15,96.31,72.61,50.00,95.00,12.00,50.00,93.00,56.22
Helms Pumped Storage,CAISO,hydro,active,1053.00,37.029304,-118.968252,Fresno,CA,SP15,SP15,,,63.83,45.35,49.21,93.33,45.43,50.00,90.95,95.00,50.00,87.28,25.00
TalenEnergy Susquehanna,PJM,nuclear,active,2532.00,41.091900,-76.146200,Luzerne,PA,WESTERN HUB,WESTERN HUB,,,67.81,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,93.00,42.00
Limerick,PJM,nuclear,active,2277.00,40.224303,-75.587440,Montgomery,PA,WESTERN HUB,WESTERN HUB,,,67.81,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,93.00,42.00
PSEG Hope Creek Generating Station,PJM,nuclear,active,1290.70,39.466600,-75.537700,Salem,NJ,WESTERN HUB,WESTERN HUB,,,67.50,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,89.10,42.00
Amistad Dam & Power,ERCOT,hydro,active,66.00,29.449827,-101.060110,Val Verde,TX,HB_WEST,HB_WEST,,,62.72,45.19,75.30,93.69,45.25,50.00,68.56,78.94,50.00,62.49,37.29
Comanche Peak,ERCOT,nuclear,active,2430.00,32.298365,-97.785515,Somervell,TX,LZ_HOUSTON,LZ_HOUSTON,,,74.54,56.23,77.77,98.00,83.72,50.00,95.00,12.00,50.00,93.00,44.52
Davis Besse,PJM,nuclear,active,925.20,41.596700,-83.086100,Ottawa,OH,WESTERN HUB,WESTERN HUB,,,67.26,51.19,58.00,90.00,72.00,50.00,95.00,12.00,50.00,86.12,42.00
