name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score,commissioning_year
Livingston Generating Facility (1),PJM,biomass,active,5.0,40.9314,-88.6548,Livingston,IL,,,,,,,,,,,,,,,,1999
Livingston Generating Facility (3),PJM,biomass,active,5.0,40.9314,-88.6548,Livingston,IL,,,,,,,,,,,,,,,,1999
Livingston Generating Facility (GEN2),PJM,biomass,active,5.0,40.9314,-88.6548,Livingston,IL,,,,,,,,,,,,,,,,2000
Tenaska Frontier Generation Station (GTG1),ERCOT,natural_gas,active,183.2,30.5924,-95.9178,Grimes,TX,,,,,,,,,,,,,,,,2000
Tenaska Frontier Generation Station (GTG2),ERCOT,natural_gas,active,183.2,30.5924,-95.9178,Grimes,TX,,,,,,,,,,,,,,,,2000
Tenaska Frontier Generation Station (GTG3),ERCOT,natural_gas,active,183.2,30.5924,-95.9178,Grimes,TX,,,,,,,,,,,,,,,,2000
Tenaska Frontier Generation Station (STG1),ERCOT,natural_gas,active,390.1,30.5924,-95.9178,Grimes,TX,,,,,,,,,,,,,,,,2000
Lakeview Gas Recovery (GEN1),PJM,biomass,active,3.0,42.060172,-80.020765,Erie,PA,,,,,,,,,,,,,,,,1997
Lakeview Gas Recovery (GEN2),PJM,biomass,active,3.0,42.060172,-80.020765,Erie,PA,,,,,,,,,,,,,,,,1997
Desert Star Energy Center (ED01),CAISO,natural_gas,active,170.9,35.788889,-114.994167,Clark,NV,,,,,,,,,,,,,,,,2000
Desert Star Energy Center (ED03),CAISO,natural_gas,active,195.5,35.788889,-114.994167,Clark,NV,,,,,,,,,,,,,,,,2000
Crockett Cogen Project (GE1),CAISO,natural_gas,active,247.0,38.0569,-122.2161,Contra Costa,CA,,,,,,,,,,,,,,,,1995
Gregory Power Plant (GT1A),ERCOT,natural_gas,active,184.9,27.88929,-97.258417,San Patricio,TX,,,,,,,,,,,,,,,,2000
Gregory Power Plant (GT1B),ERCOT,natural_gas,active,184.9,27.88929,-97.258417,San Patricio,TX,,,,,,,,,,,,,,,,2000
Gregory Power Plant (STG),ERCOT,natural_gas,active,100.0,27.88929,-97.258417,San Patricio,TX,,,,,,,,,,,,,,,,2000
Midlothian Energy Facility (STK1),ERCOT,natural_gas,active,289.0,32.4302,-97.0537,Ellis,TX,,,,,,,,,,,,,,,,2000
Midlothian Energy Facility (STK2),ERCOT,natural_gas,active,289.0,32.4302,-97.0537,Ellis,TX,,,,,,,,,,,,,,,,2000
Midlothian Energy Facility (STK3),ERCOT,natural_gas,active,289.0,32.4302,-97.0537,Ellis,TX,,,,,,,,,,,,,,,,2000
Midlothian Energy Facility (STK4),ERCOT,natural_gas,active,289.0,32.4302,-97.0537,Ellis,TX,,,,,,,,,,,,,,,,2000
Midlothian Energy Facility (STK5),ERCOT,natural_gas,active,289.0,32.4302,-97.0537,Ellis,TX,,,,,,,,,,,,,,,,2001
Midlothian Energy Facility (STK6),ERCOT,natural_gas,active,289.0,32.4302,-97.0537,Ellis,TX,,,,,,,,,,,,,,,,2001
MM San Diego-Miramar (UNT1),CAISO,biomass,active,1.6,32.844845,-117.162747,San Diego,CA,,,,,,,,,,,,,,,,1997
MM San Diego-Miramar (UNT2),CAISO,biomass,active,1.6,32.844845,-117.162747,San Diego,CA,,,,,,,,,,,,,,,,1997
MM San Diego-Miramar (UNT3),CAISO,biomass,active,1.6,32.844845,-117.162747,San Diego,CA,,,,,,,,,,,,,,,,1997
MM San Diego-Miramar (UNT4),CAISO,biomass,active,1.6,32.844845,-117.162747,San Diego,CA,,,,,,,,,,,,,,,,1997
Lamar Power Project (CTG1),ERCOT,natural_gas,active,176.0,33.6308,-95.59,Lamar,TX,,,,,,,,,,,,,,,,2000
Lamar Power Project (CTG2),ERCOT,natural_gas,active,176.0,33.6308,-95.59,Lamar,TX,,,,,,,,,,,,,,,,2000
Lamar Power Project (CTG3),ERCOT,natural_gas,active,176.0,33.6308,-95.59,Lamar,TX,,,,,,,,,,,,,,,,2000
Lamar Power Project (CTG4),ERCOT,natural_gas,active,176.0,33.6308,-95.59,Lamar,TX,,,,,,,,,,,,,,,,2000
Lamar Power Project (STG1),ERCOT,natural_gas,active,204.3,33.6308,-95.59,Lamar,TX,,,,,,,,,,,,,,,,2000
Lamar Power Project (STG2),ERCOT,natural_gas,active,204.3,33.6308,-95.59,Lamar,TX,,,,,,,,,,,,,,,,2000
Frontera Energy Center (GEN1),ERCOT,natural_gas,active,172.0,26.208,-98.3992,Hidalgo,TX,,,,,,,,,,,,,,,,1999
Frontera Energy Center (GEN2),ERCOT,natural_gas,active,172.0,26.208,-98.3992,Hidalgo,TX,,,,,,,,,,,,,,,,1999
Frontera Energy Center (GEN3),ERCOT,natural_gas,active,185.0,26.208,-98.3992,Hidalgo,TX,,,,,,,,,,,,,,,,2000
MRP Rocky Road LLC (T4),PJM,natural_gas,active,122.4,42.0931,-88.2397,Kane,IL,,,,,,,,,,,,,,,,2000
MRP Rocky Road LLC (TG1),PJM,natural_gas,active,125.8,42.0931,-88.2397,Kane,IL,,,,,,,,,,,,,,,,1999
MRP Rocky Road LLC (TG2),PJM,natural_gas,active,125.8,42.0931,-88.2397,Kane,IL,,,,,,,,,,,,,,,,1999
Madison (CT1),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Madison (CT2),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Madison (CT3),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Madison (CT4),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Madison (CT5),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Madison (CT6),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Madison (CT7),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Madison (CT8),PJM,natural_gas,active,86.5,39.4522,-84.4647,Butler,OH,,,,,,,,,,,,,,,,2000
Magic Valley Generating Station (CTG1),ERCOT,natural_gas,active,267.0,26.3403,-98.19,Hidalgo,TX,,,,,,,,,,,,,,,,2002
Magic Valley Generating Station (CTG2),ERCOT,natural_gas,active,267.0,26.3403,-98.19,Hidalgo,TX,,,,,,,,,,,,,,,,2002
Magic Valley Generating Station (STG),ERCOT,natural_gas,active,267.0,26.3403,-98.19,Hidalgo,TX,,,,,,,,,,,,,,,,2002
Kendall County Generation Facility (CTG1),PJM,natural_gas,active,180.0,41.4797,-88.2581,Kendall,IL,,,,,,,,,,,,,,,,2002
